Label,Pathology,Location, Temperature,Salinity,pH
May 1,3,"Wellfleet, MA",21.5,15.5,8.31
May 2,2,"Wellfleet, MA",21.5,15.5,8.31
May 3,2,"Wellfleet, MA",21.5,15.5,8.31
May 4,2,"Wellfleet, MA",21.5,15.5,8.31
May 5,2,"Wellfleet, MA",21.5,15.5,8.31
May 6,3,"Wellfleet, MA",21.5,15.5,8.31
May 7,3,"Wellfleet, MA",21.5,15.5,8.31
May 8,3,"Wellfleet, MA",21.5,15.5,8.31
May 9,1,"Wellfleet, MA",21.5,15.5,8.31
May 16,0,"Wellfleet, MA",21.5,15.5,8.31
May10,4,"Wellfleet, MA",21.5,15.5,8.31
June 1,1,"Wellfleet, MA",24.5,24.3,8.07
June 2,2,"Wellfleet, MA",24.5,24.3,8.07
June 3,2,"Wellfleet, MA",24.5,24.3,8.07
June 4,1,"Wellfleet, MA",24.5,24.3,8.07
June 14,0,"Wellfleet, MA",24.5,24.3,8.07
June 20,1,"Wellfleet, MA",24.5,24.3,8.07
July 1,1,"Wellfleet, MA",25,26.1,8.02
July 2,1,"Wellfleet, MA",25,26.1,8.02
July 3,1,"Wellfleet, MA",25,26.1,8.02
July 4,0,"Wellfleet, MA",25,26.1,8.02
July 5,2,"Wellfleet, MA",25,26.1,8.02
July 6,1,"Wellfleet, MA",25,26.1,8.02
July 7,1,"Wellfleet, MA",25,26.1,8.02
July10,2,"Wellfleet, MA",25,26.1,8.02
July 11,0,"Wellfleet, MA",25,26.1,8.02
Aug1,0,"Wellfleet, MA",23,28,8.1
Aug3,0,"Wellfleet, MA",23,28,8.1
Aug4,0,"Wellfleet, MA",23,28,8.1
Aug5,1,"Wellfleet, MA",23,28,8.1
Aug6,2,"Wellfleet, MA",23,28,8.1
Aug7,1,"Wellfleet, MA",23,28,8.1
Aug8,2,"Wellfleet, MA",23,28,8.1
Aug9,2,"Wellfleet, MA",23,28,8.1
Aug10,1,"Wellfleet, MA",23,28,8.1
Aug11,0,"Wellfleet, MA",23,28,8.1
Aug12,0,"Wellfleet, MA",23,28,8.1
Aug13,1,"Wellfleet, MA",23,28,8.1
Aug14,2,"Wellfleet, MA",23,28,8.1
Aug19,0,"Wellfleet, MA",23,28,8.1
Aug16,1,"Wellfleet, MA",23,28,8.1
Aug18,0,"Wellfleet, MA",23,28,8.1
Aug20,1,"Wellfleet, MA",23,28,8.1